Date,MSCI_World,MSCI_EM
2009-01-02,1411.3931,18.1927
2009-01-05,1408.3987,18.4291
2009-01-06,1399.4153,18.8464
2009-01-07,1348.5094,17.7615
2009-01-08,1331.5406,17.6850
2009-01-09,1310.5796,17.3025
2009-01-12,1309.5815,16.5723
2009-01-13,1324.5541,16.6210
2009-01-14,1272.6494,15.8143
2009-01-15,1247.6956,15.9951
2009-01-16,1256.6792,16.1690
2009-01-20,1288.6205,14.9659
2009-01-21,1294.6093,15.7795
2009-01-22,1286.6239,15.2579
2009-01-23,1290.6163,15.4527
2009-01-26,1313.5743,15.6335
2009-01-27,1297.6034,15.9117
2009-01-28,1324.5541,16.7184
2009-01-29,1300.5980,15.8699
2009-01-30,1253.6846,15.7517
2009-02-02,1259.6738,15.5918
2009-02-03,1262.6682,16.0577
2009-02-04,1277.6404,16.1759
2009-02-05,1250.6899,16.5167
2009-02-06,1275.6439,17.3443
2009-02-09,1275.6439,17.2539
2009-02-10,1256.6792,16.2107
2009-02-11,1276.6421,16.6975
2009-02-12,1259.6738,16.5932
2009-02-13,1258.6754,16.6766
2009-02-17,1205.7728,15.6126
2009-02-18,1203.7772,15.5013
2009-02-19,1201.7802,15.3553
2009-02-20,1152.8710,14.9659
2009-02-23,1136.9004,14.5973
2009-02-24,1133.9058,15.3970
2009-02-25,1148.8778,15.1328
2009-02-26,1161.8539,15.0006
2009-02-27,1132.9078,14.7642
2009-03-02,1099.9688,13.8671
2009-03-03,1071.0222,14.0618
2009-03-04,1098.9701,15.0493
2009-03-05,1065.0328,14.4304
2009-03-06,1056.0497,14.6738
2009-03-09,1081.0038,14.3886
2009-03-10,1125.9208,15.5570
2009-03-11,1140.8931,15.5570
2009-03-12,1152.8710,16.1551
2009-03-13,1152.8710,16.2455
2009-03-16,1184.8119,16.2594
2009-03-17,1182.8157,16.6140
2009-03-18,1196.7894,16.9618
2009-03-19,1187.8065,16.8505
2009-03-20,1186.8076,16.6210
2009-03-23,1215.7544,18.1579
2009-03-24,1210.7637,17.5946
2009-03-25,1231.7250,17.8589
2009-03-26,1245.6997,18.3457
2009-03-27,1245.6997,17.8033
2009-03-30,1195.7915,16.8853
2009-03-31,1205.7728,17.2539
2009-04-01,1216.7532,17.8241
2009-04-02,1258.6754,18.7908
2009-04-03,1234.7202,19.0203
2009-04-06,1232.7231,18.7838
2009-04-07,1223.7401,18.3526
2009-04-08,1227.7324,18.6239
2009-04-09,1262.6682,19.4375
2009-04-14,1254.6827,19.2428
2009-04-15,1235.7175,19.5210
2009-04-16,1256.6792,19.6879
2009-04-17,1278.6392,19.5488
2009-04-20,1262.6682,18.5961
2009-04-21,1252.6869,18.9925
2009-04-22,1289.6180,18.8325
2009-04-23,1263.6661,19.1246
2009-04-24,1297.6034,19.4862
2009-04-27,1297.6034,18.8325
2009-04-28,1284.6276,18.7699
2009-04-29,1300.5980,19.7574
2009-04-30,1315.5701,19.9383
2009-05-01,1298.6018,20.2303
2009-05-05,1327.5485,21.4334
2009-05-06,1340.5243,21.8020
2009-05-07,1342.5200,21.2596
2009-05-08,1359.4897,21.9689
2009-05-11,1349.5077,21.4543
2009-05-12,1331.5406,21.6073
2009-05-13,1317.5671,20.8145
2009-05-14,1307.5853,21.1135
2009-05-15,1313.5743,20.9188
2009-05-18,1326.5494,22.0802
2009-05-19,1330.5426,22.3306
2009-05-20,1330.5426,22.4001
2009-05-21,1288.6205,21.9828
2009-05-22,1290.6163,22.0802
2009-05-26,1302.5942,22.3445
2009-05-27,1293.6111,22.0872
2009-05-28,1281.6332,22.7687
2009-05-29,1281.6332,23.1164
2009-06-01,1308.5833,24.0900
2009-06-02,1301.5964,23.7423
2009-06-03,1288.6205,22.9008
2009-06-04,1304.5906,23.3250
2009-06-05,1325.5519,23.3737
2009-06-08,1309.5815,23.0121
2009-06-09,1298.6018,23.0538
2009-06-10,1301.5964,23.3459
2009-06-11,1302.5942,23.8466
2009-06-12,1295.6069,23.4641
2009-06-15,1274.6461,22.6226
2009-06-16,1267.6584,22.2819
2009-06-17,1260.6715,22.0315
2009-06-18,1263.6661,21.9689
2009-06-19,1268.6573,22.0802
2009-06-22,1238.7125,21.2804
2009-06-23,1236.7157,21.4186
2009-06-24,1247.6956,21.8883
2009-06-25,1260.6715,22.5403
2009-06-26,1257.6774,22.6595
2009-06-29,1265.6624,22.8278
2009-06-30,1257.6774,22.5964
2009-07-01,1280.6346,23.0101
2009-07-02,1249.6923,22.3791
2009-07-06,1243.7029,22.3300
2009-07-07,1245.6997,21.8042
2009-07-08,1235.7175,21.5518
2009-07-09,1227.7324,21.9374
2009-07-10,1218.7490,21.6780
2009-07-13,1243.7029,21.8322
2009-07-14,1250.6899,22.0706
2009-07-15,1273.6481,23.2554
2009-07-16,1282.6316,23.2975
2009-07-17,1297.6034,23.5359
2009-07-20,1298.6018,24.3772
2009-07-21,1314.5726,24.3071
2009-07-22,1319.5630,24.2510
2009-07-23,1338.5281,24.9381
2009-07-24,1343.5190,24.8189
2009-07-27,1346.5137,25.0362
2009-07-28,1341.5226,24.9241
2009-07-29,1342.5200,24.3632
2009-07-30,1367.4745,24.9661
2009-07-31,1354.4985,25.0853
2009-08-03,1355.4966,26.0248
2009-08-04,1355.4966,25.7864
2009-08-05,1342.5200,25.5691
2009-08-06,1362.4836,25.3587
2009-08-07,1379.4529,25.6111
2009-08-10,1386.4395,25.3237
2009-08-11,1368.4725,24.8469
2009-08-12,1383.4451,25.0713
2009-08-13,1389.4341,25.5060
